ID,tipo_producto,temp_idx,Sex,inception_date,birth_date,sum_insured,tariff_grp,country,reins_name,annual_prem,prem_frecuency,comission_precentage
1,Vitalicio,,Female,17/09/2024,17/11/1954,801880,5,Ecuador,Partner Re,14757.66,Mensual,21.2
2,Temporal,5,Male,10/07/2024,06/10/1967,959517,7,Brasil,Hannover Re,8191.75,Trimestral,14.4
3,Vitalicio,,Female,28/01/2022,22/06/1959,736650,9,Uruguay,Everest Re,8681.9,Mensual,9.5
4,Vitalicio,,Female,24/10/2024,07/11/1955,185969,6,Brasil,Berkshire Re,48467.09,Semestral,8.1
5,Vitalicio,,Male,23/05/2024,01/08/1961,143796,3,Colombia,Berkshire Re,44692.96,Trimestral,22.8
6,Temporal,4,Male,15/02/2022,23/09/1972,219245,2,Brasil,Everest Re,3709.79,Anual,16.8
7,Temporal,2,Female,29/03/2021,15/06/1950,423137,9,Brasil,SCOR,11361.87,Anual,22.2
8,Vitalicio,,Female,10/02/2021,17/05/1977,375528,5,Chile,Munich Re,38388.48,Semestral,18.5
9,Vitalicio,,Female,14/09/2021,04/08/1979,485565,8,Uruguay,Partner Re,33821.47,Mensual,16.8
10,Temporal,5,Male,09/02/2024,28/02/1984,692588,3,Ecuador,Everest Re,37071.07,Semestral,11
11,Vitalicio,,Female,27/05/2021,13/04/1961,293115,5,Chile,SCOR,29404.33,Mensual,10.1
12,Temporal,2,Male,08/03/2023,15/12/1967,510223,9,Mexico,SCOR,29661.58,Anual,13
13,Vitalicio,,Male,31/12/2021,05/01/1954,916730,2,Ecuador,Berkshire Re,35853.6,Mensual,18.5
14,Vitalicio,,Female,25/08/2021,07/06/1988,608627,9,Colombia,Partner Re,43034.61,Mensual,10.7
15,Vitalicio,,Female,11/08/2022,13/03/1955,467583,10,Ecuador,Munich Re,27568.4,Anual,8.2
16,Vitalicio,,Male,14/06/2020,27/12/1965,314384,3,Peru,Everest Re,13490.05,Anual,23
17,Temporal,4,Female,05/08/2020,16/01/1976,448965,6,Mexico,Swiss Re,39344.12,Semestral,10.2
18,Temporal,4,Female,03/03/2020,03/11/1982,574043,9,Chile,Everest Re,42800.51,Mensual,15.6
19,Temporal,1,Female,13/02/2024,12/10/1977,228757,3,Colombia,Munich Re,35190.75,Semestral,6.9
20,Vitalicio,,Male,11/02/2020,13/11/1985,931664,2,Chile,Partner Re,25997.59,Semestral,12.6
21,Temporal,2,Female,18/07/2021,18/06/1965,458152,7,Argentina,Partner Re,3052.71,Anual,12.1
22,Vitalicio,,Male,21/10/2024,23/02/1950,111624,6,Colombia,Swiss Re,2984.45,Mensual,14.1
23,Temporal,5,Female,02/06/2020,15/04/1977,695330,3,Brasil,Swiss Re,49911.48,Anual,18.6
24,Vitalicio,,Female,16/08/2024,21/01/1970,945464,7,Argentina,SCOR,11332.54,Mensual,7.5
25,Temporal,2,Female,17/01/2022,08/04/1977,672578,5,Colombia,Swiss Re,35090.57,Trimestral,21.7
26,Temporal,2,Female,18/05/2024,16/06/1967,395140,10,Ecuador,SCOR,12622.77,Mensual,23.7
27,Vitalicio,,Male,14/07/2020,12/09/1977,346966,4,Mexico,Partner Re,10875.82,Semestral,11.5
28,Temporal,5,Male,07/06/2021,24/07/1972,972113,2,Mexico,SCOR,48591.73,Mensual,18.9
29,Temporal,4,Female,12/08/2024,10/02/1951,740542,2,Peru,Partner Re,32894.12,Mensual,13.5
30,Temporal,3,Female,24/01/2022,25/06/1959,278009,7,Brasil,Hannover Re,1123.38,Semestral,19.8
31,Temporal,1,Female,16/11/2023,12/05/1963,582011,2,Uruguay,Lloyds,31280.14,Mensual,18.9
32,Temporal,1,Male,06/05/2020,15/07/1952,953070,7,Uruguay,Lloyds,26001.79,Trimestral,10.5
33,Vitalicio,,Male,06/02/2021,03/06/1956,773138,5,Uruguay,Everest Re,43525.48,Anual,5.6
34,Vitalicio,,Female,15/05/2021,16/07/1977,721091,4,Mexico,Partner Re,20153.03,Trimestral,6.1
35,Vitalicio,,Female,11/05/2022,12/04/1979,16163,6,Chile,Hannover Re,34041.26,Mensual,13
36,Vitalicio,,Male,07/09/2021,14/03/1951,85880,8,Uruguay,Hannover Re,6596.74,Semestral,6.2
37,Vitalicio,,Male,22/11/2024,05/04/1959,212408,3,Mexico,Hannover Re,45808.2,Anual,12.8
38,Temporal,2,Male,14/11/2022,14/08/1986,551691,4,Argentina,Lloyds,17468.33,Mensual,17.7
39,Temporal,3,Male,24/05/2022,24/03/1974,484519,7,Uruguay,Everest Re,4551.81,Mensual,22.6
40,Temporal,4,Female,14/12/2022,23/04/1964,208475,1,Chile,Partner Re,13822.23,Semestral,21.3
41,Temporal,2,Male,16/03/2023,18/01/1985,818319,1,Argentina,Lloyds,9956.01,Anual,18.6
42,Temporal,4,Female,08/09/2020,21/02/1971,782316,7,Uruguay,Partner Re,15165.41,Anual,13.2
43,Vitalicio,,Male,25/07/2024,08/09/1964,277236,1,Peru,SCOR,684.46,Anual,22.6
44,Temporal,4,Male,01/02/2020,22/09/1974,272394,7,Argentina,Berkshire Re,15379.63,Trimestral,23.5
45,Temporal,3,Female,10/11/2023,06/06/1969,375105,7,Chile,Munich Re,29503.28,Anual,24.2
46,Vitalicio,,Female,08/11/2021,11/07/1980,517059,9,Argentina,SCOR,33598.07,Mensual,19.6
47,Vitalicio,,Female,12/10/2023,17/08/1982,908627,8,Argentina,Lloyds,11607.8,Trimestral,19
48,Vitalicio,,Female,15/11/2020,06/09/1972,173174,1,Mexico,Munich Re,35312.55,Trimestral,17.5
49,Vitalicio,,Female,15/02/2022,18/10/1989,46773,4,Chile,Everest Re,25056.84,Anual,12
50,Temporal,5,Female,05/06/2023,02/09/1967,724228,7,Mexico,Berkshire Re,40930.13,Trimestral,12.9
51,Temporal,2,Female,02/05/2023,20/08/1987,111848,6,Ecuador,Swiss Re,33664.95,Semestral,10.3
52,Vitalicio,,Male,08/01/2021,06/11/1966,969356,3,Mexico,Berkshire Re,26712.85,Mensual,5.8
53,Vitalicio,,Female,13/11/2024,01/10/1955,805478,3,Uruguay,Berkshire Re,3229.28,Mensual,11.2
54,Temporal,4,Female,27/08/2024,21/10/1956,89836,2,Ecuador,Hannover Re,30139.67,Semestral,13.8
55,Temporal,3,Male,29/01/2024,09/05/1985,211995,4,Peru,Munich Re,36223.35,Anual,8.7
56,Vitalicio,,Male,11/04/2023,25/07/1979,845096,5,Mexico,Berkshire Re,41656.64,Trimestral,20
57,Temporal,1,Male,28/09/2024,31/12/1962,618340,5,Colombia,SCOR,20707.89,Trimestral,6.7
58,Vitalicio,,Male,29/05/2021,02/12/1967,99825,2,Uruguay,SCOR,1738.38,Semestral,13.6
59,Temporal,3,Male,29/01/2021,27/06/1963,805127,5,Brasil,Everest Re,28433.57,Semestral,24.4
60,Temporal,5,Male,15/10/2024,25/07/1965,22824,9,Peru,Partner Re,11859.81,Trimestral,9.4
61,Vitalicio,,Male,15/03/2021,11/03/1950,909612,3,Chile,SCOR,46912.29,Anual,21.3
62,Temporal,3,Female,07/03/2022,06/06/1985,536425,10,Brasil,Lloyds,37890,Semestral,10.4
63,Temporal,3,Female,22/12/2023,22/06/1969,243432,2,Chile,Munich Re,41493.7,Mensual,8.1
64,Temporal,1,Male,03/03/2022,13/10/1976,236593,7,Argentina,Partner Re,37674.88,Semestral,6.5
65,Vitalicio,,Female,02/04/2022,25/05/1951,767063,10,Ecuador,Munich Re,12044.39,Anual,21.5
66,Temporal,4,Male,02/12/2020,29/04/1958,162833,3,Peru,Partner Re,44475.03,Trimestral,20.7
67,Vitalicio,,Female,07/02/2020,01/07/1965,585781,3,Ecuador,Berkshire Re,27856.17,Semestral,8.6
68,Vitalicio,,Female,13/08/2021,21/01/1969,261172,7,Chile,Everest Re,17201.08,Trimestral,17
69,Vitalicio,,Female,08/08/2021,13/11/1961,910397,7,Ecuador,Lloyds,47652.19,Semestral,19.4
70,Vitalicio,,Female,29/04/2023,28/04/1982,380129,3,Peru,SCOR,38259.09,Mensual,17.1
71,Temporal,2,Female,17/05/2020,25/11/1978,31133,6,Chile,Munich Re,27407.99,Semestral,5.1
72,Vitalicio,,Female,16/06/2023,14/10/1982,259772,9,Uruguay,Partner Re,4205.22,Anual,7.5
73,Temporal,3,Male,10/03/2020,23/03/1980,717474,6,Ecuador,Lloyds,9410.59,Anual,18.4
74,Vitalicio,,Male,23/11/2024,25/12/1963,220035,3,Uruguay,Lloyds,1218.08,Mensual,17.9
75,Vitalicio,,Male,29/01/2022,16/07/1971,532592,3,Argentina,Swiss Re,46533.74,Anual,24.9
76,Temporal,3,Female,01/06/2024,20/02/1972,211400,6,Mexico,Munich Re,36359.55,Trimestral,14.7
77,Vitalicio,,Male,26/03/2020,19/11/1951,154005,5,Argentina,SCOR,41281.21,Trimestral,25
78,Temporal,3,Female,23/11/2023,06/02/1951,554704,5,Brasil,Partner Re,3658.67,Trimestral,13
79,Temporal,5,Female,10/08/2020,01/09/1954,468839,5,Chile,Swiss Re,9030.97,Trimestral,17.3
80,Temporal,2,Female,07/05/2022,17/11/1985,716395,2,Colombia,Everest Re,11556.86,Anual,22.7
81,Temporal,2,Male,18/05/2021,13/04/1980,882646,7,Ecuador,Lloyds,29476.75,Semestral,12.7
82,Vitalicio,,Male,31/01/2022,01/04/1983,109226,8,Argentina,Lloyds,33111.79,Mensual,8.8
83,Vitalicio,,Male,19/08/2024,31/01/1978,740244,2,Colombia,Lloyds,3177.58,Semestral,8.9
84,Vitalicio,,Male,22/02/2023,16/12/1958,998366,6,Peru,Hannover Re,46099.93,Mensual,9.7
