[17:09:44] | [INFO] | Pipeline | === PIPELINE BEGINNING ===
[17:09:44] | [SUCCESS] | Pipeline | Setting input file location: inputs\data_2000k.csv
[17:09:44] | [INFO] | Pipeline | Input file type: csv
[17:09:44] | [INFO] | Pipeline | Input file delimiter: ","
[17:09:44] | [SUCCESS] | Pipeline | Setting tables location: tables
[17:09:44] | [SUCCESS] | Pipeline | Setting output file location: outputs\res_2000k.csv
[17:09:47] | [SUCCESS] | Pipeline | 2000000 lines read
[17:09:47] | [INFO] | Pipeline | File read as CSV with delimiter: ","
[17:09:47] | [INFO] | Engine | Beginning of transformations
[17:09:47] | [DEBUG] | Functions | input data columns=> ['ID', 'tipo_producto', 'temp_idx', 'Sex', 'inception_date', 'birth_date', 'sum_insured', 'tariff_grp', 'country', 'reins_name', 'annual_prem', 'prem_frecuency', 'comission_precentage'] 
[17:09:47] | [SUCCESS] | Functions | SEX mapped
[17:09:47] | [SUCCESS] | Functions | POL_TERM_Y correctly assigned
[17:09:48] | [SUCCESS] | Functions | PROD_TYPE column correctly assigned
[17:10:00] | [SUCCESS] | Functions | date conversions correctly done
[17:10:00] | [SUCCESS] | Functions | SUM_ASSURED column correctly assigned
[17:10:00] | [SUCCESS] | Functions | ANNUAL_PREM column correctly assigned
[17:10:01] | [SUCCESS] | Functions | TARIFF column correctly assigned
[17:10:02] | [SUCCESS] | Functions | CURRENCY column correctly assigned
[17:10:02] | [SUCCESS] | Functions | PREM_FREQ column correctly assigned
[17:10:03] | [INFO] | Functions | Output variable list: ID, PROD_TYPE, SEX, POL_TERM_Y, ENTRY_YEAR, ENTRY_MTH, AGE_AT_ENTRY, TARIFF, CURRENCY, SUM_ASSURED, ANNUAL_PREM, PREM_FREQ, REINS, COMM_PC
[17:10:03] | [INFO] | Engine | End of transformations
[17:10:18] | [SUCCESS] | Pipeline | res_2000k.csv file successfully saved
[17:10:18] | [INFO] | Pipeline | Pipeline runtime: 33.70 seconds
[17:10:18] | [INFO] | Pipeline | === PIPELINE ENDING ===
